Level,District Code,District Name,School Name,Test,Grade,Number of Total Records,Number of Valid Scores,Number of No Scores,Participation Rate,Total Score Mean Score,Total Score Standard Deviation,Evidence-Based Reading & Writing Mean Score,Evidence-Based Reading & Writing Standard Deviation,Mathematics Mean Score,Mathematics Standard Deviation,Total Score Mean Score,Evidence-Based Reading & Writing Mean Score,Mathematics Mean Score,Total Score Mean Score,Evidence-Based Reading & Writing Mean Score,Mathematics Mean Score
STATE,0000,All Districts,All Schools,PSAT,09,"  67,471","  63,042","   4,429",93.4,906,178,457,93,448,95,902,454,448,4,3,0
STATE,0000,All Districts,All Schools,PSAT,10,"  65,767","  60,722","   5,045",92.3,938,184,476,100,462,94,944,479,465,-6,-3,-3
STATE,0000,All Districts,All Schools,SAT,11,"  62,586","  57,973","   4,613",92.6,1001,203,505,103,496,110,1014,513,501,-13,-8,-5
DISTRICT,0010,MAPLETON 1,All Schools,PSAT,09,     846,     677,     169,80.0,813,140,416,78,397,74,823,418,405,-10,-2,-8
DISTRICT,0010,MAPLETON 1,All Schools,PSAT,10,     727,     600,     127,82.5,848,143,434,85,414,69,865,443,422,-17,-9,-8
DISTRICT,0010,MAPLETON 1,All Schools,SAT,11,     727,     618,     109,85.0,915,160,470,87,445,84,934,477,456,-19,-7,-11
DISTRICT,0020,ADAMS 12 FIVE STAR SCHOOLS,All Schools,PSAT,09,"   2,934","   2,819",     115,96.1,905,182,451,92,454,100,899,449,450,6,2,4
DISTRICT,0020,ADAMS 12 FIVE STAR SCHOOLS,All Schools,PSAT,10,"   2,985","   2,841",     144,95.2,925,181,464,97,461,94,931,470,461,-6,-6,0
DISTRICT,0020,ADAMS 12 FIVE STAR SCHOOLS,All Schools,SAT,11,"   2,975","   2,735",     240,91.9,978,204,491,104,487,110,996,502,494,-18,-11,-7
DISTRICT,0030,ADAMS COUNTY 14,All Schools,PSAT,09,     505,     451,      54,89.3,781,135,393,70,389,76,759,379,380,22,14,9
DISTRICT,0030,ADAMS COUNTY 14,All Schools,PSAT,10,     487,     425,      62,87.3,801,118,404,73,397,57,814,415,399,-13,-11,-2
DISTRICT,0030,ADAMS COUNTY 14,All Schools,SAT,11,     429,     396,      33,92.3,833,128,427,70,406,71,858,436,423,-25,-9,-17
DISTRICT,0040,SCHOOL DISTRICT 27J,All Schools,PSAT,09,"   1,332","   1,280",      52,96.1,862,157,438,82,424,86,864,433,431,-2,5,-7
DISTRICT,0040,SCHOOL DISTRICT 27J,All Schools,PSAT,10,"   1,262","   1,185",      77,93.9,890,153,451,87,440,76,888,448,440,2,3,0
DISTRICT,0040,SCHOOL DISTRICT 27J,All Schools,SAT,11,"   1,138","   1,065",      73,93.6,936,167,473,87,463,92,947,474,473,-11,-1,-10
DISTRICT,0050,BENNETT 29J,All Schools,PSAT,09,      85,      82,       3,96.5,892,163,455,90,437,83,855,441,414,37,14,23
DISTRICT,0050,BENNETT 29J,All Schools,PSAT,10,      82,      78,       4,95.1,880,143,459,90,421,64,892,463,429,-12,-4,-8
DISTRICT,0050,BENNETT 29J,All Schools,SAT,11,      99,      96,       3,97.0,942,156,483,86,459,81,940,484,456,2,-1,3
DISTRICT,0060,STRASBURG 31J,All Schools,PSAT,09,      75,      73,       2,97.3,907,132,463,81,444,64,873,446,427,34,17,17
DISTRICT,0060,STRASBURG 31J,All Schools,PSAT,10,      83,      78,       5,94.0,853,127,434,80,419,58,934,481,453,-81,-47,-34
DISTRICT,0060,STRASBURG 31J,All Schools,SAT,11,      91,      85,       6,93.4,971,206,493,102,478,112,970,502,468,1,-9,10
DISTRICT,0070,WESTMINSTER PUBLIC SCHOOLS,All Schools,PSAT,09,     643,     616,      27,95.8,789,147,404,77,384,81,773,389,384,16,15,0
DISTRICT,0070,WESTMINSTER PUBLIC SCHOOLS,All Schools,PSAT,10,     637,     602,      35,94.5,818,132,414,78,404,65,816,416,400,2,-2,4
DISTRICT,0070,WESTMINSTER PUBLIC SCHOOLS,All Schools,SAT,11,     574,     555,      19,96.7,861,146,438,76,423,80,858,438,419,3,0,4
DISTRICT,0100,ALAMOSA RE-11J,All Schools,PSAT,09,     189,     185,       4,97.9,851,162,431,83,420,88,877,447,430,-26,-16,-10
DISTRICT,0100,ALAMOSA RE-11J,All Schools,PSAT,10,     139,     137,       2,98.6,916,156,470,90,446,74,901,460,440,15,10,6
DISTRICT,0100,ALAMOSA RE-11J,All Schools,SAT,11,     150,     142,       8,94.7,942,174,477,92,465,93,996,504,492,-54,-27,-27
DISTRICT,0110,SANGRE DE CRISTO RE-22J,All Schools,PSAT,09,      19,      19,       0,100.0,939,103,474,56,465,60,951,489,461,-12,-15,4
DISTRICT,0110,SANGRE DE CRISTO RE-22J,All Schools,PSAT,10,      17,      17,       0,100.0,952,119,489,76,463,50,946,464,481,6,25,-18
DISTRICT,0110,SANGRE DE CRISTO RE-22J,All Schools,SAT,11,      21,      20,       1,95.2,1016,147,512,79,504,87,927,467,460,89,45,44
DISTRICT,0120,ENGLEWOOD 1,All Schools,PSAT,09,     189,     166,      23,87.8,808,149,414,83,394,78,828,423,405,-20,-9,-11
DISTRICT,0120,ENGLEWOOD 1,All Schools,PSAT,10,     202,     156,      46,77.2,871,159,448,98,423,73,873,445,428,-2,3,-5
DISTRICT,0120,ENGLEWOOD 1,All Schools,SAT,11,     227,     186,      41,81.9,935,176,478,94,457,95,942,481,461,-7,-3,-4
DISTRICT,0123,SHERIDAN 2,All Schools,PSAT,09,      97,      93,       4,95.9,783,140,399,72,384,80,807,402,405,-24,-3,-21
DISTRICT,0123,SHERIDAN 2,All Schools,PSAT,10,     113,     108,       5,95.6,803,129,410,72,393,68,821,415,406,-18,-5,-13
DISTRICT,0123,SHERIDAN 2,All Schools,SAT,11,     112,     111,       1,99.1,845,149,428,74,416,84,866,439,427,-21,-11,-11
DISTRICT,0130,CHERRY CREEK 5,All Schools,PSAT,09,"   4,292","   3,896",     396,90.8,952,185,479,96,473,99,953,478,475,-1,1,-2
DISTRICT,0130,CHERRY CREEK 5,All Schools,PSAT,10,"   4,265","   3,862",     403,90.6,992,194,502,103,489,102,999,504,495,-7,-2,-6
DISTRICT,0130,CHERRY CREEK 5,All Schools,SAT,11,"   4,149","   3,765",     384,90.7,1065,208,531,104,534,114,1082,543,539,-17,-12,-5
DISTRICT,0140,LITTLETON 6,All Schools,PSAT,09,"   1,290","   1,235",      55,95.7,1004,158,508,85,496,83,994,501,493,10,7,3
DISTRICT,0140,LITTLETON 6,All Schools,PSAT,10,"   1,308","   1,238",      70,94.6,1028,179,523,94,505,96,1024,517,506,4,6,-1
DISTRICT,0140,LITTLETON 6,All Schools,SAT,11,"   1,198","   1,125",      73,93.9,1092,180,547,92,545,99,1110,558,552,-18,-11,-7
DISTRICT,0170,DEER TRAIL 26J,All Schools,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,0170,DEER TRAIL 26J,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,0170,DEER TRAIL 26J,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,0180,ADAMS-ARAPAHOE 28J,All Schools,PSAT,09,"   2,486","   2,342",     144,94.2,800,161,399,79,400,92,797,395,402,3,4,-2
DISTRICT,0180,ADAMS-ARAPAHOE 28J,All Schools,PSAT,10,"   2,413","   2,232",     181,92.5,837,155,418,83,420,81,834,420,415,3,-2,5
DISTRICT,0180,ADAMS-ARAPAHOE 28J,All Schools,SAT,11,"   2,333","   2,171",     162,93.1,879,168,440,85,439,93,901,454,447,-22,-14,-8
DISTRICT,0190,BYERS 32J,All Schools,PSAT,09,     198,      52,     146,26.3,844,172,430,90,414,96,837,426,411,7,4,3
DISTRICT,0190,BYERS 32J,All Schools,PSAT,10,     214,      64,     150,29.9,865,146,437,84,428,72,892,461,431,-27,-24,-3
DISTRICT,0190,BYERS 32J,All Schools,SAT,11,     173,      62,     111,35.8,920,145,471,79,449,79,949,494,456,-29,-23,-7
DISTRICT,0220,ARCHULETA COUNTY 50 JT,All Schools,PSAT,09,     141,     135,       6,95.7,873,175,445,89,429,96,865,435,429,8,10,0
DISTRICT,0220,ARCHULETA COUNTY 50 JT,All Schools,PSAT,10,     128,     126,       2,98.4,907,135,465,77,442,67,894,453,441,13,12,1
DISTRICT,0220,ARCHULETA COUNTY 50 JT,All Schools,SAT,11,      97,      89,       8,91.8,974,180,503,105,472,86,994,507,487,-20,-4,-15
DISTRICT,0230,WALSH RE-1,All Schools,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,0230,WALSH RE-1,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,0230,WALSH RE-1,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,0240,PRITCHETT RE-3,All Schools,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,0240,PRITCHETT RE-3,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
