district_name,race/ethnicity,total_student_count,participation_rate,total,evidence_based_reading_writing,math
MAPLETON 1,Hispanic,397.0,92.9,880.0,448.0,431.0
MAPLETON 1,White,254.0,74.4,969.0,503.0,466.0
MAPLETON 1,Two or More Races,47.0,76.6,974.0,506.0,468.0
ADAMS 12 FIVE STAR SCHOOLS,American Indian or Alaska Native,20.0,90.0,854.0,432.0,423.0
ADAMS 12 FIVE STAR SCHOOLS,Asian,192.0,97.4,1059.0,522.0,537.0
ADAMS 12 FIVE STAR SCHOOLS,Black,56.0,94.6,965.0,487.0,479.0
ADAMS 12 FIVE STAR SCHOOLS,Hispanic,1272.0,88.1,880.0,443.0,437.0
ADAMS 12 FIVE STAR SCHOOLS,White,1394.0,94.8,1050.0,527.0,523.0
ADAMS 12 FIVE STAR SCHOOLS,Two or More Races,35.0,85.7,1014.0,511.0,503.0
ADAMS COUNTY 14,Hispanic,375.0,93.6,832.0,426.0,406.0
ADAMS COUNTY 14,White,35.0,77.1,849.0,448.0,401.0
SCHOOL DISTRICT 27J,Asian,39.0,100.0,1008.0,497.0,511.0
SCHOOL DISTRICT 27J,Black,22.0,100.0,924.0,471.0,452.0
SCHOOL DISTRICT 27J,Hispanic,513.0,93.6,894.0,453.0,441.0
SCHOOL DISTRICT 27J,White,515.0,93.0,978.0,493.0,485.0
SCHOOL DISTRICT 27J,Two or More Races,37.0,89.2,880.0,443.0,437.0
BENNETT 29J,Hispanic,31.0,93.5,900.0,459.0,442.0
BENNETT 29J,White,66.0,98.5,962.0,495.0,468.0
STRASBURG 31J,White,73.0,91.8,986.0,500.0,485.0
WESTMINSTER PUBLIC SCHOOLS,Asian,25.0,92.0,983.0,482.0,501.0
WESTMINSTER PUBLIC SCHOOLS,Hispanic,443.0,96.8,845.0,430.0,416.0
WESTMINSTER PUBLIC SCHOOLS,White,88.0,96.6,896.0,463.0,434.0
ALAMOSA RE-11J,Hispanic,95.0,93.7,884.0,448.0,436.0
ALAMOSA RE-11J,White,43.0,95.3,1057.0,534.0,522.0
ENGLEWOOD 1,Hispanic,89.0,86.5,879.0,449.0,430.0
ENGLEWOOD 1,White,118.0,78.8,985.0,506.0,479.0
SHERIDAN 2,Hispanic,83.0,98.8,840.0,425.0,415.0
CHERRY CREEK 5,Asian,389.0,96.4,1164.0,565.0,599.0
