district_name,total_student_count,participation_rate,total,evidence_based_reading_writing,math
MAPLETON 1,727.0,85.0,915.0,470.0,445.0
ADAMS 12 FIVE STAR SCHOOLS,2975.0,91.9,978.0,491.0,487.0
ADAMS COUNTY 14,429.0,92.3,833.0,427.0,406.0
SCHOOL DISTRICT 27J,1138.0,93.6,936.0,473.0,463.0
BENNETT 29J,99.0,97.0,942.0,483.0,459.0
STRASBURG 31J,91.0,93.4,971.0,493.0,478.0
WESTMINSTER PUBLIC SCHOOLS,574.0,96.7,861.0,438.0,423.0
ALAMOSA RE-11J,150.0,94.7,942.0,477.0,465.0
SANGRE DE CRISTO RE-22J,21.0,95.2,1016.0,512.0,504.0
ENGLEWOOD 1,227.0,81.9,935.0,478.0,457.0
SHERIDAN 2,112.0,99.1,845.0,428.0,416.0
CHERRY CREEK 5,4149.0,90.7,1065.0,531.0,534.0
LITTLETON 6,1198.0,93.9,1092.0,547.0,545.0
ADAMS-ARAPAHOE 28J,2333.0,93.1,879.0,440.0,439.0
BYERS 32J,173.0,35.8,920.0,471.0,449.0
ARCHULETA COUNTY 50 JT,97.0,91.8,974.0,503.0,472.0
LAS ANIMAS RE-1,413.0,62.5,791.0,410.0,381.0
MC CLAVE RE-2,22.0,86.4,898.0,457.0,441.0
ST VRAIN VALLEY RE 1J,2234.0,96.6,1015.0,515.0,500.0
BOULDER VALLEY RE 2,2485.0,88.3,1132.0,566.0,566.0
BUENA VISTA R-31,65.0,93.8,1037.0,520.0,517.0
SALIDA R-32,84.0,97.6,1024.0,518.0,505.0
CLEAR CREEK RE-1,52.0,98.1,974.0,505.0,469.0
NORTH CONEJOS RE-1J,76.0,90.8,974.0,481.0,493.0
SANFORD 6J,24.0,100.0,1034.0,525.0,509.0
CENTENNIAL R-1,19.0,89.5,926.0,469.0,457.0
CROWLEY COUNTY RE-1-J,30.0,86.7,854.0,438.0,416.0
CUSTER COUNTY SCHOOL DISTRICT C-1,30.0,100.0,974.0,492.0,482.0
DELTA COUNTY 50(J),321.0,96.6,955.0,487.0,467.0
DENVER COUNTY 1,5335.0,94.6,968.0,486.0,482.0
DOUGLAS COUNTY RE 1,4795.0,94.8,1084.0,544.0,540.0
EAGLE COUNTY RE 50,523.0,93.5,974.0,494.0,480.0
ELIZABETH SCHOOL DISTRICT,190.0,86.3,1001.0,507.0,494.0
BIG SANDY 100J,22.0,95.5,1010.0,496.0,514.0
ELBERT 200,19.0,94.7,934.0,479.0,455.0
CALHAN RJ-1,30.0,96.7,903.0,460.0,443.0
HARRISON 2,617.0,95.0,935.0,477.0,458.0
WIDEFIELD 3,630.0,96.7,943.0,479.0,464.0
FOUNTAIN 8,448.0,97.5,978.0,497.0,481.0
COLORADO SPRINGS 11,1766.0,91.5,946.0,480.0,465.0
CHEYENNE MOUNTAIN 12,358.0,98.3,1151.0,574.0,577.0
MANITOU SPRINGS 14,113.0,93.8,1061.0,543.0,517.0
ACADEMY 20,2073.0,96.0,1081.0,547.0,534.0
ELLICOTT 22,60.0,98.3,931.0,465.0,466.0
PEYTON 23 JT,65.0,100.0,991.0,506.0,484.0
HANOVER 28,20.0,90.0,945.0,483.0,462.0
LEWIS-PALMER 38,558.0,92.3,1114.0,559.0,555.0
DISTRICT 49,1908.0,87.0,911.0,470.0,440.0
EDISON 54 JT,45.0,80.0,1116.0,565.0,551.0
MIAMI/YODER 60 JT,22.0,95.5,883.0,455.0,428.0
CANON CITY RE-1,219.0,96.8,931.0,477.0,453.0
FREMONT RE-2,82.0,95.1,903.0,467.0,437.0
COTOPAXI RE-3,21.0,100.0,984.0,488.0,496.0
ROARING FORK RE-1,423.0,93.1,1008.0,500.0,507.0
GARFIELD RE-2,308.0,98.4,952.0,477.0,475.0
GARFIELD 16,88.0,100.0,918.0,460.0,457.0
GILPIN COUNTY RE-1,34.0,94.1,1007.0,520.0,487.0
WEST GRAND 1-JT,45.0,77.8,868.0,452.0,416.0
EAST GRAND 2,89.0,96.6,1047.0,528.0,519.0
GUNNISON WATERSHED RE1J,164.0,98.2,1030.0,521.0,509.0
HUERFANO RE-1,29.0,100.0,864.0,449.0,416.0
LA VETA RE-2,17.0,100.0,980.0,497.0,483.0
JEFFERSON COUNTY R-1,5901.0,94.3,1048.0,526.0,522.0
BURLINGTON RE-6J,42.0,97.6,839.0,434.0,405.0
LAKE COUNTY R-1,84.0,82.1,927.0,467.0,460.0
DURANGO 9-R,338.0,90.2,1032.0,526.0,506.0
BAYFIELD 10 JT-R,62.0,96.8,1032.0,523.0,509.0
IGNACIO 11 JT,56.0,96.4,859.0,439.0,420.0
POUDRE R-1,1982.0,91.9,1084.0,544.0,540.0
THOMPSON R2-J,1140.0,91.2,1002.0,514.0,488.0
ESTES PARK R-3,70.0,91.4,1006.0,515.0,491.0
TRINIDAD 1,58.0,96.6,932.0,487.0,445.0
HOEHNE REORGANIZED 3,26.0,100.0,954.0,473.0,481.0
